,GO:0000015,GO:0000150,GO:0000156,GO:0000160,GO:0000166,GO:0000746,GO:0000902,GO:0000988,GO:0001071,GO:0002376,GO:0003674,GO:0003676,GO:0003700,GO:0003735,GO:0003774,GO:0003824,GO:0003924,GO:0004386,GO:0004518,GO:0004601,GO:0004672,GO:0004803,GO:0004812,GO:0004871,GO:0004872,GO:0005102,GO:0005215,GO:0005515,GO:0005575,GO:0005576,GO:0005618,GO:0005622,GO:0005634,GO:0005667,GO:0005694,GO:0005727,GO:0005737,GO:0005739,GO:0005773,GO:0005783,GO:0005794,GO:0005839,GO:0005840,GO:0005856,GO:0005874,GO:0005886,GO:0005975,GO:0006091,GO:0006259,GO:0006282,GO:0006351,GO:0006412,GO:0006457,GO:0006508,GO:0006520,GO:0006629,GO:0006790,GO:0006807,GO:0006808,GO:0006810,GO:0006811,GO:0006935,GO:0006950,GO:0007154,GO:0007155,GO:0007165,GO:0008092,GO:0008134,GO:0008150,GO:0008152,GO:0008218,GO:0008233,GO:0008658,GO:0009055,GO:0009056,GO:0009058,GO:0009117,GO:0009276,GO:0009288,GO:0009289,GO:0009295,GO:0009306,GO:0009317,GO:0009341,GO:0009346,GO:0009349,GO:0009372,GO:0009403,GO:0009404,GO:0009405,GO:0009579,GO:0009607,GO:0009628,GO:0015948,GO:0015979,GO:0016020,GO:0016032,GO:0016043,GO:0016049,GO:0016070,GO:0016209,GO:0016226,GO:0016298,GO:0016301,GO:0016310,GO:0016407,GO:0016469,GO:0016491,GO:0016597,GO:0016740,GO:0016746,GO:0016757,GO:0016765,GO:0016779,GO:0016787,GO:0016788,GO:0016791,GO:0016798,GO:0016810,GO:0016829,GO:0016853,GO:0016874,GO:0016887,GO:0017000,GO:0017004,GO:0017111,GO:0019008,GO:0019012,GO:0019222,GO:0019538,GO:0019842,GO:0019861,GO:0019867,GO:0019898,GO:0022900,GO:0030031,GO:0030170,GO:0030234,GO:0030246,GO:0031012,GO:0031224,GO:0031982,GO:0032196,GO:0033202,GO:0034061,GO:0034062,GO:0042221,GO:0042575,GO:0042592,GO:0042597,GO:0043167,GO:0043190,GO:0043934,GO:0044281,GO:0044403,GO:0045182,GO:0045333,GO:0045454,GO:0046034,GO:0046039,GO:0046718,GO:0046872,GO:0046906,GO:0048037,GO:0048500,GO:0048870,GO:0050662,GO:0051082,GO:0051186,GO:0051301,GO:0051536,GO:0055114,GO:0065003,GO:0070469,GO:0071103,GO:0071554,GO:0071840,GO:0071941,GO:0071973,GO:0090484,GO:0098796,GO:1902494,GO:1990204
-0.78154,,,1.4375179452953188e-05,0.0019426464179001604,0.10013495833075636,1.8368465279931837e-06,0.0007934559125222852,0.002143777428603946,0.005278299308069608,4.9698039025822515e-06,,0.05880094435101267,,,0.0011738248021695688,,0.003790834229214047,0.002103904620590154,0.006899398118346227,,0.002451842207880809,,0.018463650381344215,,0.0062216021694061555,6.08526950206081e-06,0.026086501245909187,,,,0.0005423810486187232,,0.00047843751383618206,1.0518885936857977e-05,0.0012179271265372557,5.321625304016612e-05,0.03082059542817772,4.7809819242437184e-05,2.9853665153117844e-06,7.11984881662998e-05,9.346870408094487e-05,,0.014999656420417944,0.0006697289360469596,,0.0014015761737982172,0.03223086045598311,0.012302105512702298,0.02456259097585959,,0.016351840227202367,0.035932132647504986,,,0.04720506067716744,0.017282333204777296,0.005076734553884816,0.14270199294669844,,0.04606241815453754,0.012958540136999461,0.00011555346632374966,0.009870298369327866,0.004738689599252521,,0.003653906665662205,0.0005184165843776234,0.000625422477470379,,,,0.013309973280473815,,,0.014587226222777538,0.14574920166868405,0.015066091932423982,,,3.499962477190904e-06,2.3459627974369652e-05,0.0011019631532052775,,,,,,,0.0002275019245352139,5.352132000418166e-05,0.0011165903732150775,,,,0.00140873573978364,0.06740584905967319,6.204909726395821e-05,0.005190828567618256,1.6799913782842468e-08,0.05024304518293826,,,7.906610933321515e-05,0.01089407120777093,0.005369695388187466,0.0015091951968764384,0.0030975068941797453,0.08549194812799812,,0.07991708000693643,0.012803822588370657,0.00541383649838396,0.006452851464598796,,0.07297131808932451,0.013134736248460944,0.00179385325629511,0.004520958796627622,0.00842481233910935,0.022188537799561467,0.01816296303925041,0.0376061893947726,0.01645290664658044,,,,,0.00018724494211342274,,0.056707550351063285,,0.0005784728693149239,0.0015757523688099658,,0.0025125931207941894,7.78944538687172e-06,,0.0007961924356038005,,3.379457919315659e-05,,3.702205916975004e-05,6.479644543977845e-05,,0.0029976338145827693,0.006448106924208704,,0.0011091407191644378,0.002449875274599767,0.001433624560489506,,0.0002401636638129245,1.1273228905309108e-07,0.09032384253116973,1.5116179841782405e-05,0.0,0.005928750451305677,,0.003507636679599936,0.0004987224780650247,,0.02987722080445379,,0.0494916279330498,,0.0005468746061290111,,0.0011371650565803139,0.01858330454604754,0.0020570984745069865,,0.08575625539099319,,2.4901357634651448e-05,,3.496382635284093e-05,,8.9641050937085e-06,,,,,
0.45883,,,6.960256204841938e-05,0.0022484710074139828,0.08778165576964177,1.3465080071794183e-05,0.0005922503247808425,0.001935090693492503,0.003757941328387905,9.871098709568084e-06,,0.05275338268167978,,,0.0004738931630396112,,0.0033671818044702104,0.001844232000680907,0.005852552628260042,,0.0021585656333929955,,0.015156138358363318,,0.004251308334850371,8.065400615707669e-06,0.022146484183280198,,,,0.00032230484392778197,,9.449245022050366e-05,2.8365678526229457e-06,0.0010433860598946779,0.0001583669302735088,0.023766262105075115,1.2627682472204773e-05,6.664544132417538e-07,1.2355770116579204e-05,1.0588857900888629e-05,,0.011650492792727823,0.00011901994940733028,,0.0017777652220107485,0.0298866976092313,0.009652766479679218,0.023818088214684112,,0.013865337046734372,0.02879093951739782,,,0.041247951270890156,0.013412368712671366,0.005924438975909987,0.12503990764395545,,0.04053175193318956,0.010724194153314496,0.0003602109280190043,0.007959432082290715,0.0058896103560866185,,0.004852980017642465,9.88822449971193e-05,0.0010081429951493926,,,,0.013113763934380497,,,0.014517341430638316,0.12116208860101708,0.012848611235752865,,,2.1956307377363794e-05,1.5928090946092604e-05,0.0013551453922220499,,,,,,,0.00010332816921910688,3.582719399318689e-05,8.019998262203658e-05,,,,0.0003288433810911037,0.05530792275892428,4.883622416967786e-05,0.003815816372261759,1.5140550724394042e-07,0.040810908603545144,,,3.811935817448353e-05,0.009319681357286691,0.0053190682305020226,0.0013363166662885484,0.0020703416205655736,0.0857978702415209,,0.07170251897835016,0.011558699322743192,0.004790545666864517,0.005256229093030477,,0.07258556990174243,0.013689113227146641,0.0012374567320425096,0.004186688854800592,0.009679707577699677,0.01892598617340116,0.015770352273545705,0.03264885312585779,0.015252892681302104,,,,,0.00020221649329701553,,0.04797807467052823,,0.0012914627439413382,0.00112551666536468,,0.001458631239015882,3.6439352334628105e-06,,0.0006604613649654672,,7.244836802719194e-05,,1.5918756326597128e-05,0.0011238976091906226,,0.0020636935767952983,0.005680400996269885,,0.0007229064769749133,0.0019376252014892187,0.0011833496589279244,,0.0002373634343285023,1.544529160579918e-05,0.07883424864205163,1.7320770730037612e-05,0.0,0.004852816332245243,,0.002231218041824166,0.00039897476535892605,,0.029667796914916042,,0.05267010496165117,,0.0012502977643031351,,0.0007688872963013387,0.01660624928700087,0.0014416401460268543,,0.08498611175657395,,2.032174545654276e-05,,6.166536251370916e-05,,8.498644230987739e-05,,,,,
0.67108,,,1.3057349751593061e-05,0.0020146790227054505,0.10024405530334693,2.1687678458085828e-06,0.0008161348431368787,0.0023436724249178333,0.005211303233509507,4.766031564955963e-06,,0.05844589325858214,,,0.0005734505162505001,,0.003782488500437447,0.0019330681790167828,0.006768838436470288,,0.001782817473950237,,0.019187429518068937,,0.006747373249901409,3.4582853009177903e-06,0.027340103295758325,,,,0.0006603532173800547,,0.00022336784120053683,5.461600063691484e-06,0.0011453878347357446,5.510236108475237e-05,0.03117281215832542,3.0385409395326912e-05,1.3006743027310016e-06,3.0715563608837775e-05,3.9705552655457334e-05,,0.015264036204159594,0.00025762668448366517,,0.0013830904245055375,0.03200812764116896,0.012816725387733263,0.024210350003126595,,0.016275163247924003,0.03690743938969513,,,0.05026408032353358,0.017328904964835648,0.005059168616437893,0.14656607435847813,,0.04766822226659516,0.013068865790527176,0.00012310328988938512,0.009841782539426193,0.004463550360554975,,0.0034146673419225993,0.00020893908198170875,0.0006808688711418233,,,,0.013409780495503128,,,0.014427560387699864,0.1498364022651705,0.015274346080085358,,,2.767433170990641e-06,3.662079117736086e-05,0.0012707886023123846,,,,,,,0.00023116713633213574,6.206562904584334e-05,0.0010756735040528395,,,,0.001395926442384975,0.06983112857086954,3.504925017045987e-05,0.0054148844807251195,0.0,0.050991554944071454,,,8.510499462473895e-05,0.009854860759202944,0.004835374724323717,0.001625831762308337,0.0031739539590381477,0.0903253289825961,,0.07981637218456586,0.013473071226848325,0.005370330839338915,0.006841558641216285,,0.07163479662618577,0.012914484961864835,0.0017848952991917416,0.004222448301480966,0.0085629560709807,0.022626556510497442,0.01816683591501649,0.03919396642327201,0.016222299394986178,,,,,9.226206374912609e-05,,0.05697732879105773,,0.0007372747128992015,0.0015261068692529463,,0.002829521106791361,3.44034211571941e-06,,0.0006937262648750375,,2.4282586584734408e-05,,1.8874294696587936e-05,8.971436917797225e-05,,0.0031419002155648103,0.0063681397794926676,,0.00113644265378471,0.0025912097013221897,0.0015809510088348358,,0.00023347340490689213,7.982204335760775e-08,0.09369657941862493,1.0469343248775454e-05,0.0,0.006344889445466193,,0.0036235624144155794,0.0004623928788237076,,0.029283104243364826,,0.05075011055191146,,0.0007095807087102809,,0.0010549486266887404,0.019662363351535227,0.0021468170941856077,,0.08997561851335274,,2.9577470600403506e-05,,1.6793343145479235e-05,,8.115224452219775e-06,,,,,
1.84402,,,1.8792317577914628e-05,0.002016798725826393,0.0977290865439451,9.376120293685027e-06,0.0007527155682343423,0.002167682146564853,0.0056138526764578514,3.702635979304734e-06,,0.06005684872409198,,,0.0010598843478082788,,0.0036775270913864053,0.001911281857738303,0.00644666921642663,,0.0022479313146179887,,0.017425756440448283,,0.007094016059392621,7.052568055590269e-06,0.02645602158250029,,,,0.000480242823495323,,0.0003996870707728597,9.612686005989148e-06,0.0011300250537458973,3.377093651650467e-05,0.029282035753549353,4.396200345810129e-05,3.3617179321672396e-06,6.231319201645955e-05,7.303393565987528e-05,,0.014415105871235376,0.0005554343244372007,,0.001322136164295368,0.03195176361872035,0.01204488013280661,0.025744467148565382,,0.01677073306142988,0.03415218500527979,,,0.04543536275319314,0.016119420459819074,0.004873445321162121,0.13987713234132584,,0.04818610599183927,0.01261597021603254,0.00015894178216192204,0.009806633505158036,0.004809900927055414,,0.0038188503989569217,0.0004508269487888802,0.0007947453505139956,,,,0.013571105170496024,,,0.014585220870704267,0.13935758074350235,0.01467737055840858,,,4.680274591592292e-06,1.993975157967526e-05,0.0012893826358553956,,,,,,,0.00024162792816058,4.965574131376661e-05,0.0012142482444378608,,,,0.0015476656670161647,0.06898636178549573,6.348165416994549e-05,0.005169638408399586,1.6468286666298547e-08,0.048602377170107916,,,7.617629378473012e-05,0.009761108991555568,0.004958880193573427,0.0014886065456053224,0.0029862057121226963,0.08723098278622674,,0.07675619445926941,0.013102511162614593,0.004902804012359991,0.006287746337359039,,0.07331779027622998,0.01263544304466051,0.0017001984091758245,0.004729631010750147,0.008610538538349562,0.02082982001709801,0.01753948610015417,0.03580778817085417,0.01667996039258026,,,,,0.00013714965585858813,,0.054660407496630994,,0.0011618522029567895,0.001525987024367163,,0.002545605432974509,4.773738246709815e-06,,0.0007738601962691549,,3.018334500179384e-05,,3.3516108165202525e-05,0.000561502261431751,,0.0029502247556039253,0.006288515786967297,,0.0010096996696349904,0.0025341599737414315,0.0019579211740715246,,0.00021296603133885732,3.1356108075534725e-07,0.08685564362577364,1.7368044323349987e-05,0.0,0.005690662300876995,,0.0033935971153717798,0.0004672684565492815,,0.030091421064636824,,0.04921915138363769,,0.0011433999062498467,,0.001169736433302381,0.017989082855005313,0.001991099192097166,,0.08635377534798949,,3.873807885656583e-05,,3.685913336634627e-05,,3.315961900756459e-05,,,,,
4.216697,,,0.0003478719924540463,0.0052068907336540945,0.08408534349577418,4.310687962380062e-05,0.0005352519548114476,0.0021723232658711024,0.006025498687953047,3.570986317525321e-06,,0.055738538465425376,,,0.000627940222282908,,0.0032049360897047283,0.0016548298981226535,0.005967373591861846,,0.002785894597470229,,0.014382234594417252,,0.010133526623012985,4.684242050804134e-06,0.025146851085631014,,,,0.00025367572974580884,,6.499760401039768e-05,2.4131145445303803e-06,0.0011356227170346346,9.368239972569988e-05,0.023588229232346,9.039597954620466e-06,3.0476542042149424e-07,1.2323945918806739e-05,4.424092670098768e-06,,0.011280104659733042,7.374819536561174e-05,,0.0019370834335123237,0.030565291269195514,0.009564459962080996,0.02550382406230458,,0.01744786837021324,0.02750922190379337,,,0.04135844632515327,0.01306997824838356,0.006195348002905815,0.12873724946986173,,0.0477018232159524,0.011100583136801899,0.0013247000150279269,0.008463434736727112,0.010827343694651785,,0.009811799222222549,7.262672766890924e-05,0.0015232670620079942,,,,0.012341600773341493,,,0.014950108009655242,0.11982862987960151,0.012050577058643217,,,3.0148394045309318e-05,0.00011161124669113295,0.002017521305221207,,,,,,,0.00011447769941534215,2.2756483163970506e-05,2.808947049736674e-05,,,,0.00026859872432778974,0.06501675549856051,3.252769574605761e-05,0.004114812787046669,1.2178775586522903e-07,0.04372472174790242,,,0.00018939279356533232,0.009484786410618139,0.005257119329000226,0.0013304873670149145,0.0018857954024006178,0.08141938769683602,,0.0715074958978224,0.011684585067958601,0.00484811032907472,0.00522451403097912,,0.06753160541333034,0.013182956018436918,0.0021314478417784506,0.00427628103760992,0.009338438364898808,0.018707807021310863,0.015058660537596937,0.030957480856463486,0.013323772417235091,,,,,0.00010652716342311877,,0.045478951077117524,,0.002010190580395062,0.0019360440970103482,,0.001312759786283738,1.523050117704032e-05,,0.0006440241335502737,,4.688829371510658e-05,,1.1671575222798153e-05,0.0034002266930927847,,0.0019585729172792274,0.005322649772789673,,0.0006714937813210714,0.0025204946182941067,0.0017574594804295146,,0.00014944610590378538,7.973991612957426e-06,0.07770074133015625,7.211301462849922e-06,8.138919108243376e-09,0.0049845346795690205,,0.0020259990294335933,0.0003895990311849896,,0.02873287363930927,,0.04801178425439126,,0.0017614255791791084,,0.0009997157664779857,0.016858896069962603,0.0015241235746410382,,0.08072651848048784,,3.830321806319863e-05,,0.00019424129415209342,,0.00018218112302740856,,,,,
4.673875,,,0.0001015376260698701,0.0032523485792944487,0.0959733179414751,4.344059555805194e-05,0.0007889363591494222,0.0024067055927796633,0.004838183780399449,4.759722415174186e-06,,0.060672729559663616,,,0.0005662041128171762,,0.003514588064681588,0.0019854360201087998,0.007108653513013716,,0.002240792035528498,,0.0175140587459253,,0.005940712041366463,9.162142310530989e-06,0.023384480603027988,,,,0.00045428046723365763,,0.00016686374798712548,6.395943506398356e-06,0.001225236658983333,8.280139658805083e-05,0.02744387083043953,2.601323243027889e-05,1.146265434587605e-06,2.180673995752991e-05,2.0589994676778066e-05,,0.01360661015227005,0.00019848771421088836,,0.0016555218623018231,0.03178905659817319,0.012670033283513196,0.02789897419087488,,0.01609811740233802,0.03342892986375469,,,0.04505719727490016,0.01448828708459387,0.0057189647365607004,0.14062865114882656,,0.04248101920427646,0.01155458068925009,0.0004884727791460107,0.009375827717579225,0.007395217628966739,,0.006214048277472113,0.00016949761904377838,0.0009155369799187035,,,,0.01347877112883528,,,0.014883261607828008,0.13782779143724133,0.014645887507387673,,,2.3584270676425314e-05,3.7891809946995486e-05,0.0013537617744479682,,,,,,,0.00012383499700871877,3.688152518063145e-05,0.0026789487485698923,,,,0.004133112265274705,0.06202784727386952,0.00015316800812089826,0.0048870854423787,6.294889644919124e-08,0.047059634070755696,,,6.826910765337044e-05,0.009677565988189729,0.005303365492405263,0.0014223883851833799,0.0025228869432672558,0.0809044915353554,,0.07712592895869996,0.011112652993419668,0.005848412689704976,0.0062657312184096325,,0.07088384497454289,0.013555511338582512,0.00158140971569514,0.003976174932148778,0.00821871350311614,0.020152442515638663,0.01650261689363288,0.0357617162477908,0.015111752155713969,,,,,0.0002943555847118031,,0.05314303262548162,,0.0011219835261121038,0.0014455829272697483,,0.0034615908422099724,6.743713648457398e-06,,0.0007314715434468279,,4.58800904036855e-05,,2.818119160991681e-05,0.0012655669139699337,,0.0027454273162220858,0.006652068782639957,,0.0008704888094947089,0.0025675524658344533,0.0014340129651240325,,0.00014618888688943527,5.420685827890693e-06,0.08560694459315923,1.0447715944746542e-05,1.573722411229781e-08,0.005090593505000534,,0.002729075613855621,0.0004783144623465308,,0.029605653981151607,,0.05068641519462584,,0.0010375609703322589,,0.0009859964123955308,0.01872242074996592,0.0018557904081199094,,0.08332465760350011,,2.8822539769549796e-05,,9.333555471130132e-05,,0.00018857666418955509,,,,,
4.749588,,,0.00011024573052287822,0.0026962139616709,0.08761946871083748,7.700901613119136e-05,0.000551627664225306,0.0017153316130771152,0.003961345986786374,6.625118105161259e-06,,0.05284055523899886,,,0.0004161834208677957,,0.003166712082434621,0.0016147933237536318,0.005978651167123522,,0.001893397414700629,,0.015610443531938304,,0.004210596710670203,6.846367627863027e-06,0.02245997758232468,,,,0.00029199418028827667,,6.137830377736422e-05,3.3031822727003244e-06,0.001118147284382569,7.232467138655293e-05,0.024265851716487354,1.1280336855210482e-05,4.814023805523268e-07,8.56728640425612e-06,4.382497397439478e-06,,0.012178475164699627,7.654078117083385e-05,,0.0021384912751672485,0.028171821643245575,0.009042191922730376,0.023692326455402132,,0.014903706099113654,0.02969999056369973,,,0.04320788127894346,0.013028029389821769,0.0059420394300561934,0.12789195110289908,,0.04086601140097662,0.010522386863759847,0.0005068289128524868,0.007907823988705825,0.006376918736332062,,0.0054449975618497065,6.625237762542828e-05,0.0011102459349440156,,,,0.012289228965320184,,,0.01402122911358244,0.12452793178814205,0.012876374888412936,,,3.707416709047505e-05,2.6743267934362554e-05,0.0013046534934430423,,,,,,,0.00010178338419655677,3.369517328854033e-05,2.6090891287200737e-05,,,,0.0002302866935601535,0.05628434975357636,6.1955867104351e-05,0.003879556074619874,1.0513844269101092e-07,0.04202932769822382,,,5.120980067522839e-05,0.008631814662450889,0.005404148595108871,0.0013990127406576598,0.0020115540787460856,0.08844818645489318,,0.07262131899136906,0.011508801869623803,0.0048027687312301665,0.005631418432764419,,0.06853863352865062,0.012591785453032682,0.001244996507725695,0.003280026373537269,0.009659736816640053,0.019017671219495602,0.015146060606215317,0.03429532885307669,0.014422252021548496,,,,,0.00022334875674752906,,0.04771836860364148,,0.0012420871438226899,0.0013097783408149658,,0.0014452419455970608,3.9804975446241725e-06,,0.0006285864102086273,,7.000603950778488e-05,,1.694863562245664e-05,0.00141461312533486,,0.0020859886958752424,0.006098853549715658,,0.0006774656056045974,0.002063583236221793,0.0014314041601379915,,0.00020370223195832052,9.603907553531988e-06,0.0809094760334583,1.2462395997953721e-05,0.0,0.004561789216860106,,0.0020934507354291596,0.0004166085689543438,,0.02939681043030335,,0.05373824596644931,,0.0011663250231720452,,0.000802073211557283,0.017385925264729166,0.0014292936090846747,,0.08718066222584953,,3.2244183433501846e-05,,7.261355223242449e-05,,0.00012990043551815137,,,,,
4.936634,,,7.211987193127225e-05,0.00216325939129481,0.09041725853404237,5.1084909284651176e-05,0.0006064001516175239,0.0016048743914821044,0.0034728412468054445,4.9867368343282715e-06,,0.05181609443019576,,,0.0003500300680802265,,0.0033540144319531653,0.0016081772950996465,0.005947026917861424,,0.0016973945504629012,,0.016793037054330148,,0.004086585501760797,6.307898281345112e-06,0.022379516422788036,,,,0.0003206018444760867,,6.0993620137277484e-05,2.6941331468578715e-06,0.0012100284547089536,6.871334780808176e-05,0.02579451152231527,1.0931963345904054e-05,5.181025282418983e-07,7.603154601949858e-06,5.362361167303648e-06,,0.013264124161405724,6.436128657084982e-05,,0.0020459998365904624,0.029750612902338346,0.0098542971345977,0.02260191193303587,,0.014639517990566285,0.0320784605142924,,,0.0450054035503183,0.013561424344674132,0.005775560886139767,0.13040842695834595,,0.04032888060477487,0.010802334093337931,0.0003703008294976908,0.007737822401603134,0.005611879344904946,,0.0046671841474718746,5.748347550843862e-05,0.0010326690067285456,,,,0.012815162415557708,,,0.014288723721256903,0.12978767536669614,0.013559779369146964,,,2.7601912192087134e-05,1.100967872514034e-05,0.0011971406543189365,,,,,,,9.985130975541986e-05,2.9182124903224925e-05,3.18762580500828e-05,,,,0.00022962304051680934,0.05569764085640483,5.272988481181921e-05,0.003960401631007483,1.1657306885442712e-07,0.043713255844883,,,4.5489401979638674e-05,0.00889062643206777,0.005387670475808265,0.0012982613152685489,0.002098444765011749,0.08565998930947243,,0.07488744611150841,0.011213008062348873,0.005150198181988591,0.0060910464681494655,,0.07007619060349567,0.013138574966249506,0.0012351046170758614,0.0037062723409048317,0.009543746479169507,0.0196723918550345,0.016275828252949466,0.035919193413839215,0.014541531849912536,,,,,0.0002315270673080983,,0.050727820069623654,,0.0010634961071589388,0.0011532444176136415,,0.0015304878209897736,2.681180583651824e-06,,0.0006614614978064316,,7.430885511309427e-05,,2.1643733117305303e-05,0.0006656969859748091,,0.0020401582305845352,0.006616506052292399,,0.0006969126633013835,0.001953829396816229,0.0015189470871731854,,0.00021138583152269453,9.494228830032787e-06,0.0846316335062915,1.1203967173231051e-05,0.0,0.00505300214769041,,0.002170875498459966,0.00044599560887383213,,0.029708802028309226,,0.05411463039161453,,0.001016115630951217,,0.0008158949089121355,0.017812559209404555,0.001472395575010651,,0.0858644584722431,,2.293898943791005e-05,,5.345522835135786e-05,,0.00013057478968016444,,,,,
5.067239,,,5.935707536115437e-05,0.001956554810746837,0.09163346199183713,5.489972301863965e-05,0.0006176404562611232,0.0016639444873018873,0.0033733688263385664,7.102048065740123e-06,,0.05206397031617293,,,0.00031000885542189886,,0.003456914467078434,0.0016993804384248792,0.005981083382962237,,0.0015985848441194797,,0.017051170508896957,,0.0038969294324903456,6.091714868103453e-06,0.022631107038874013,,,,0.00033057210756203345,,8.058893035266616e-05,2.154386965548782e-06,0.0012025193728047632,9.766058982449755e-05,0.02594907097559512,1.3966370673212793e-05,6.537450102354925e-07,1.1811983707664011e-05,6.849464766330955e-06,,0.013141002739949342,7.119877475110182e-05,,0.0020529524840742887,0.03026863169936157,0.009759313522571415,0.023009313385136385,,0.014234941009690447,0.03221154701194031,,,0.04590456312382782,0.013953592929830918,0.006149036419228192,0.1319144511062547,,0.040555829459857,0.01110611739070338,0.000249894030162517,0.008063394961132557,0.004999381245205653,,0.0040298922528675596,5.8480462733793146e-05,0.0009535168131107492,,,,0.013257592219388386,,,0.01458983540320147,0.13090915471676504,0.013751778873602993,,,3.790235275251685e-05,1.188627291337259e-05,0.0010812496734060794,,,,,,,0.00010777877964200597,3.6312563750353265e-05,1.8527727903719525e-05,,,,0.000200343129954895,0.05627362758901411,3.050314786394241e-05,0.004042343123744317,1.4857841141715738e-07,0.04365466995542009,,,3.555481385212576e-05,0.008872478700504687,0.005343533419571215,0.0013747960408429572,0.002218765991215836,0.09018641226952201,,0.07528295755550121,0.011762982547578633,0.005054711845617402,0.0060959493528288415,,0.0720758331136973,0.013054990697579951,0.0012542989491836425,0.0038813584149738276,0.00983710917878944,0.019838917526634796,0.01627251562818306,0.03672604261148607,0.015007994484293918,,,,,0.0001278220073421805,,0.051232792967023065,,0.0009028367169763568,0.0011334155536546434,,0.001516614134540634,9.65759674211523e-07,,0.0006629420139022145,,7.259541181842309e-05,,1.631390957360388e-05,0.0006547850591154126,,0.002149736461271425,0.006453726167521357,,0.0007408565328493719,0.0020275010021985297,0.0012240483846191093,,0.00021280885867279453,1.0742219145460479e-05,0.08589035665044176,1.3327483504119017e-05,0.0,0.004899209680228206,,0.0023144207724862024,0.0004343095544134927,,0.030369115279002993,,0.054941696419865,,0.0008872508416186971,,0.0007640941963950153,0.018171214005524055,0.0015035540921770657,,0.08933410707026863,,2.4693731977531558e-05,,7.871684236880998e-05,,0.00010993316660755474,,,,,
5.791448,,,8.464305448967843e-05,0.002565489838094927,0.08851773360784128,6.507352402706686e-05,0.0005758681596688715,0.0018937960351005992,0.003971788297628259,6.8044998104498446e-06,,0.05285913037894611,,,0.00031091465154569665,,0.0033086572631292515,0.0016433834090013053,0.00588705279337113,,0.0018041594975458878,,0.01602779710261585,,0.005479292702662752,8.474855061077067e-06,0.02336535123025796,,,,0.00033472160953884676,,5.749538599527388e-05,2.391245411424235e-06,0.001126259006093966,0.00018604240954617522,0.024592411780055567,1.2184801986154372e-05,3.868191106715674e-07,1.000454881691463e-05,4.712160075453639e-06,,0.01237488841367575,5.375027369649916e-05,,0.001993032719674705,0.03116133875210643,0.009182206553000574,0.023631535526460547,,0.014887173041366488,0.030320569832374928,,,0.04415810921693412,0.013107576557348245,0.0059632737408602775,0.12904573888067808,,0.04219410551324663,0.010991939762277502,0.0003244357377323528,0.008185391287486793,0.005946658101788249,,0.0049221149391140565,4.545124550390917e-05,0.0010756560333433853,,,,0.013238567574371116,,,0.014329133726162206,0.12612562383153156,0.013101616026506533,,,4.307758277933364e-05,3.440931816292079e-05,0.001128949157181818,,,,,,,0.00011198413253941876,6.306909772631419e-05,6.364932639232154e-05,,,,0.00027822843669394917,0.05799262437935533,5.255465099078704e-05,0.003852964499904693,2.109922421844913e-07,0.04255555280679551,,,5.3539281454314665e-05,0.008717320312720746,0.005232449361993746,0.0014011115669129632,0.0020734559293206934,0.088311945840964,,0.07274870090757786,0.011458162286757834,0.0048867561558613055,0.005757222233680273,,0.07119472546120223,0.012531936972608407,0.0012549466911396568,0.004729197699010037,0.009626292474738382,0.019112978415898027,0.015758940238012262,0.03486595812306857,0.014475157940440722,,,,,0.00020237672562862459,,0.04909880905604726,,0.0009605949306054428,0.0012661468626622835,,0.0015146781412687656,2.778064522095802e-06,,0.0006431043541783295,,7.632644361023973e-05,,1.7020040869548966e-05,0.0011226721379768295,,0.0020906517970587296,0.006313608776320777,,0.0006918259794360983,0.0020859572196701244,0.0013023671975706213,,0.00018222696650000567,1.0725438977711642e-05,0.08254412124711395,1.654530832463386e-05,1.758268684870761e-08,0.004531251810467286,,0.0021779146718888653,0.000402116048229943,,0.029732639949527843,,0.05372532386386084,,0.0009314780011839829,,0.0007455762531325974,0.017456232164891703,0.0014023775203660701,,0.08670407945939708,,2.9679575400618443e-05,,0.00014396703991721789,,0.00011453362213248136,,,,,
